dataset,max_depth,mean_accuracy,mean_precision,mean_recall
rfe,10,0.3575590603384137,0.35930272288690407,0.3575590603384137
new_features,10,0.35656189150233397,0.35860702934140115,0.35656189150233397
original,20,0.3564988250988263,0.3568563528465359,0.3564988250988263
original,10,0.3564988250988263,0.3568563528465359,0.3564988250988263
original,None,0.3564988250988263,0.3568563528465359,0.3564988250988263
original,15,0.3564988250988263,0.3568563528465359,0.3564988250988263
new_features,20,0.3543476659472122,0.3570549229183996,0.3543476659472122
new_features,15,0.3543476659472122,0.3570549229183996,0.3543476659472122
new_features,None,0.3543476659472122,0.3570549229183996,0.3543476659472122
rfe,None,0.3543476659472122,0.3570549229183996,0.3543476659472122
rfe,15,0.3543476659472122,0.3570549229183996,0.3543476659472122
rfe,20,0.3543476659472122,0.3570549229183996,0.3543476659472122
kbest,None,0.3433783176551186,0.3453736605932719,0.3433783176551186
kbest,20,0.3433783176551186,0.3453736605932719,0.3433783176551186
kbest,15,0.3433783176551186,0.3453736605932719,0.3433783176551186
kbest,10,0.3433783176551186,0.3453736605932719,0.3433783176551186
