d_taxi_pass,d_taxi_dest,rel_dir_taxi_to_pass,rel_dir_taxi_to_dest,passenger_in_taxi,action,map_name
13,18,1,1,0,1,map_2.txt
9,14,1,1,0,1,map_2.txt
5,10,1,1,0,1,map_2.txt
1,6,-2,1,0,2,map_2.txt
3,6,-2,1,0,0,map_2.txt
7,10,1,1,0,2,map_2.txt
9,9,1,1,0,2,map_2.txt
7,7,1,1,0,2,map_2.txt
7,10,1,1,0,0,map_2.txt
11,14,1,1,0,0,map_2.txt
15,18,1,1,0,3,map_2.txt
15,15,1,1,0,4,map_2.txt
15,15,1,1,0,1,map_2.txt
11,11,1,1,0,1,map_2.txt
7,7,1,1,0,1,map_2.txt
3,3,1,1,0,1,map_2.txt
1,1,-1,-1,0,2,map_2.txt
5,5,2,2,0,5,map_2.txt
14,18,1,1,0,1,map_2.txt
10,14,1,1,0,1,map_2.txt
6,10,1,1,0,2,map_2.txt
6,7,1,1,0,0,map_2.txt
10,11,1,1,0,2,map_2.txt
10,10,1,1,0,1,map_2.txt
6,6,1,1,0,2,map_2.txt
10,10,1,1,0,0,map_2.txt
14,14,1,1,0,0,map_2.txt
18,18,1,1,0,4,map_2.txt
23,23,1,1,0,1,map_2.txt
19,19,1,1,0,1,map_2.txt
15,15,1,1,0,1,map_2.txt
11,11,1,1,0,3,map_2.txt
9,3,1,1,0,0,map_2.txt
13,7,1,1,0,3,map_2.txt
11,6,1,1,0,1,map_2.txt
7,2,1,-2,0,1,map_2.txt
3,4,-2,-1,0,3,map_2.txt
1,3,-2,2,0,5,map_2.txt
4,4,-2,-1,0,3,map_2.txt
2,5,-2,-1,0,0,map_2.txt
6,1,1,-2,0,0,map_2.txt
10,5,1,1,0,0,map_2.txt
14,9,1,1,0,0,map_2.txt
18,13,1,1,0,4,map_2.txt
-1,12,0,1,1,1,map_2.txt
-1,8,0,1,1,1,map_2.txt
-1,4,0,1,1,2,map_2.txt
-1,7,0,1,1,2,map_2.txt
-1,13,0,1,1,2,map_2.txt
-1,11,0,1,1,0,map_2.txt
-1,15,0,1,1,0,map_2.txt
-1,19,0,1,1,5,map_2.txt
6,2,-2,2,0,3,map_2.txt
4,3,-2,-1,0,0,map_2.txt
8,3,1,1,0,3,map_2.txt
6,8,1,1,0,1,map_2.txt
2,4,-2,2,0,0,map_2.txt
6,8,1,1,0,0,map_2.txt
10,12,1,1,0,0,map_2.txt
14,16,1,1,0,0,map_2.txt
18,20,1,1,0,1,map_2.txt
14,16,1,1,0,1,map_2.txt
10,12,1,1,0,3,map_2.txt
8,8,1,1,0,3,map_2.txt
12,12,1,1,0,1,map_2.txt
8,8,-2,-2,0,1,map_2.txt
4,4,-2,-2,0,4,map_2.txt
7,1,-1,-2,0,2,map_2.txt
5,3,-1,2,0,0,map_2.txt
3,7,2,1,0,0,map_2.txt
7,11,1,1,0,2,map_2.txt
7,8,1,1,0,0,map_2.txt
11,12,1,1,0,1,map_2.txt
7,8,1,1,0,2,map_2.txt
7,7,1,1,0,2,map_2.txt
11,11,1,1,0,1,map_2.txt
7,7,2,2,0,1,map_2.txt
5,5,2,2,0,5,map_2.txt
17,19,1,1,0,1,map_2.txt
