taxi_r,taxi_c,pass_r,pass_c,dest_r,dest_c,passenger_in_taxi,action,map_name
3,1,0,4,4,0,0,1,map_3.txt
1,1,0,4,4,0,0,3,map_3.txt
0,4,0,4,0,4,0,0,map_3.txt
2,4,0,4,0,4,0,0,map_3.txt
4,4,0,4,0,4,0,0,map_3.txt
6,4,0,4,0,4,0,0,map_3.txt
8,4,0,4,0,4,0,3,map_3.txt
8,2,0,4,4,3,0,1,map_3.txt
6,2,0,4,4,3,0,1,map_3.txt
4,2,0,4,4,3,0,1,map_3.txt
2,2,0,4,4,3,0,1,map_3.txt
0,2,0,4,4,3,0,3,map_3.txt
0,0,0,4,0,4,0,3,map_3.txt
0,0,0,4,0,4,0,0,map_3.txt
2,0,0,4,0,4,0,0,map_3.txt
4,0,0,4,0,4,0,0,map_3.txt
6,0,0,4,0,4,0,0,map_3.txt
8,0,0,4,0,4,0,4,map_3.txt
8,1,0,0,0,4,0,1,map_3.txt
6,1,0,0,0,4,0,1,map_3.txt
4,1,0,0,0,4,0,2,map_3.txt
4,3,0,0,4,3,0,5,map_3.txt
4,3,0,0,4,3,0,2,map_3.txt
5,0,0,0,0,0,0,0,map_3.txt
7,0,0,0,0,0,0,3,map_3.txt
6,3,0,0,4,3,0,0,map_3.txt
8,3,0,0,4,3,0,2,map_3.txt
9,0,0,0,0,0,0,1,map_3.txt
7,0,0,0,0,0,0,1,map_3.txt
5,0,0,0,0,0,0,2,map_3.txt
5,2,0,0,4,0,0,2,map_3.txt
5,4,0,0,0,0,0,2,map_3.txt
5,4,0,0,0,0,0,1,map_3.txt
3,4,0,0,0,0,0,0,map_3.txt
5,4,0,0,0,0,0,0,map_3.txt
7,4,0,0,0,0,0,0,map_3.txt
9,4,0,0,0,0,0,0,map_3.txt
9,4,0,0,0,0,0,3,map_3.txt
9,2,0,0,4,0,0,1,map_3.txt
7,2,0,0,4,0,0,1,map_3.txt
5,2,0,0,4,0,0,3,map_3.txt
5,0,0,0,0,0,0,1,map_3.txt
3,0,0,0,0,0,0,1,map_3.txt
1,0,0,0,0,0,0,1,map_3.txt
1,0,0,0,0,0,0,2,map_3.txt
1,2,0,0,4,0,0,2,map_3.txt
1,4,0,0,0,0,0,5,map_3.txt
4,0,0,4,0,4,0,2,map_3.txt
4,2,0,4,4,3,0,1,map_3.txt
2,2,0,4,4,3,0,1,map_3.txt
0,2,0,4,4,3,0,1,map_3.txt
0,2,0,4,4,3,0,3,map_3.txt
0,0,0,4,0,4,0,0,map_3.txt
2,0,0,4,0,4,0,0,map_3.txt
4,0,0,4,0,4,0,0,map_3.txt
6,0,0,4,0,4,0,0,map_3.txt
8,0,0,4,0,4,0,4,map_3.txt
8,1,0,0,0,4,0,0,map_3.txt
8,1,0,0,0,4,0,1,map_3.txt
6,1,0,0,0,4,0,1,map_3.txt
4,1,0,0,0,4,0,2,map_3.txt
4,3,0,0,4,3,0,2,map_3.txt
5,0,0,0,0,0,0,0,map_3.txt
7,0,0,0,0,0,0,3,map_3.txt
6,3,0,0,4,3,0,0,map_3.txt
8,3,0,0,4,3,0,2,map_3.txt
9,0,0,0,0,0,0,1,map_3.txt
7,0,0,0,0,0,0,1,map_3.txt
5,0,0,0,0,0,0,1,map_3.txt
3,0,0,0,0,0,0,1,map_3.txt
1,0,0,0,0,0,0,2,map_3.txt
1,2,0,0,4,0,0,0,map_3.txt
3,2,0,0,4,0,0,0,map_3.txt
5,2,0,0,4,0,0,0,map_3.txt
7,2,0,0,4,0,0,0,map_3.txt
9,2,0,0,4,0,0,2,map_3.txt
9,4,0,0,0,0,0,2,map_3.txt
9,4,0,0,0,0,0,1,map_3.txt
7,4,0,0,0,0,0,1,map_3.txt
5,4,0,0,0,0,0,3,map_3.txt
5,2,0,0,4,0,0,1,map_3.txt
3,2,0,0,4,0,0,2,map_3.txt
3,4,0,0,0,0,0,1,map_3.txt
1,4,0,0,0,0,0,5,map_3.txt
0,0,0,4,0,4,0,0,map_3.txt
2,0,0,4,0,4,0,0,map_3.txt
4,0,0,4,0,4,0,0,map_3.txt
